,1,2,3,4,5,6,7,8,9,10
1,1.0,0.725,0.789,0.716,0.839,0.61,0.699,0.738,0.682,0.717
2,0.725,1.0,0.736,0.831,0.723,0.771,0.741,0.834,0.859,0.724
3,0.789,0.736,1.0,0.74,0.836,0.673,0.731,0.746,0.654,0.723
4,0.716,0.831,0.74,1.0,0.736,0.758,0.714,0.822,0.734,0.809
5,0.839,0.723,0.836,0.736,1.0,0.605,0.819,0.706,0.663,0.726
6,0.61,0.771,0.673,0.758,0.605,1.0,0.758,0.702,0.728,0.802
7,0.699,0.741,0.731,0.714,0.819,0.758,1.0,0.639,0.752,0.739
8,0.738,0.834,0.746,0.822,0.706,0.702,0.639,1.0,0.723,0.72
9,0.682,0.859,0.654,0.734,0.663,0.728,0.752,0.723,1.0,0.604
10,0.717,0.724,0.723,0.809,0.726,0.802,0.739,0.72,0.604,1.0
